ticker,model,n_train,n_test,price_r2,return_r2,price_mae,hit_rate
MSFT,XGB,223,56,0.29159309270408107,-4.886134104009038,35.78513826642718,0.4642857142857143
MSFT,LGB,223,56,0.04530825386517068,-6.868701393388787,41.58209875614865,0.48214285714285715
NFLX,RF,224,55,-1.1922203214900216,-9.899091263392199,17.467679690274277,0.5272727272727272
NFLX,XGB,224,55,-1.116192954668541,-9.498146647280548,16.99867137562145,0.509090909090909
NFLX,LGB,224,55,-2.6883658385749807,-17.280464452349776,23.36643017014548,0.5272727272727272
NVDA,RF,223,56,-0.2907915871102691,-8.928367835762545,27.625910792880568,0.5892857142857143
NVDA,XGB,223,56,-0.3980820393988951,-9.816305363052265,28.903564044407435,0.5357142857142857
NVDA,LGB,223,56,-0.4993987440959906,-10.610508308211493,29.84148581457982,0.625
PLTR,RF,185,56,-3.2626170016457285,-23.73006445309132,65.5230640443166,0.5535714285714286
PLTR,XGB,185,56,-3.4367057691258234,-24.542392710337488,66.52404390062604,0.5357142857142857
PLTR,LGB,185,56,-6.544765914121314,-44.340759754466674,88.89255731670262,0.5
QCOM,RF,223,56,0.6380702353415872,-0.40830022470165006,5.938268687549626,0.6071428571428571
QCOM,XGB,223,56,0.6812830259775269,-0.22515525170317963,6.051003456115723,0.5357142857142857
QCOM,LGB,223,56,0.3381758280715036,-1.3838181808078565,8.229209155226426,0.5
QS,RF,178,51,0.7625972646150665,-7.782482481143774,1.42769608291168,0.5686274509803921
QS,XGB,178,51,0.7041200070329001,-11.63818285516343,1.6125085213605095,0.6078431372549019
QS,LGB,178,51,0.7085449856198895,-6.191987605516544,1.7116081891536816,0.5686274509803921
RBLX,RF,167,56,0.8172767441337894,-1.3822457366855634,8.646004047329644,0.5535714285714286
RBLX,XGB,167,56,0.5494770313731119,-4.234161520545757,13.603518690381732,0.5357142857142857
RBLX,LGB,167,56,0.2781793675243299,-6.320555059478671,16.107780601376877,0.5535714285714286
RKLB,RF,74,56,-0.8963703776589054,-18.635090273997285,21.510541211423412,0.5892857142857143
RKLB,XGB,74,56,-0.8966585921014893,-18.298807246889314,21.208312886101858,0.6428571428571429
RKLB,LGB,74,56,-1.6269125433535052,-28.300196906896183,26.516748958508185,0.5892857142857143
SMCI,RF,100,56,0.5443570434479376,-0.3179907368624968,4.389273611500465,0.5178571428571429
SMCI,XGB,100,56,0.5775710158151963,-0.42985723256466635,3.794572319303241,0.6785714285714286
SMCI,LGB,100,56,0.28815776294941453,-1.0829348422046086,5.681041119690148,0.5178571428571429
SMR,RF,44,56,0.4342438738874147,-2.6977802291297412,6.46203503637087,0.5
SMR,XGB,44,56,0.5230832737977307,-2.1657215858645946,5.949103440557208,0.4642857142857143
SMR,LGB,44,56,-0.24892055188392592,-8.044383618633008,9.67318325399614,0.5357142857142857
SOUN,RF,71,56,-1.3949015397876634,-13.12092879973434,4.518519296702885,0.42857142857142855
SOUN,XGB,71,56,-0.46177041717747436,-7.9012424419737215,3.2132116726466586,0.5
SOUN,LGB,71,56,-1.1543116263450033,-11.193062286615344,3.7806131529149445,0.5892857142857143
TLRY,RF,161,18,-8.892768096280832,-38.15149815022111,8.458645106557064,0.3888888888888889
TLRY,XGB,161,18,-10.713236349910014,-40.73478715783491,9.28932163450453,0.3888888888888889
TLRY,LGB,161,18,-18.344314550041965,-74.64384849680226,11.211977936729825,0.3333333333333333
TSLA,RF,223,56,0.8446207577194556,-0.26373176970734025,21.278801397068428,0.6428571428571429
TSLA,XGB,223,56,0.7934063529838963,-0.6795065299647569,24.487358093261726,0.5535714285714286
TSLA,LGB,223,56,0.41713799373132976,-2.6440086150972535,41.12163762049439,0.5357142857142857
TSM,RF,224,56,-0.799023785266507,-28.644984364485232,62.1730722026221,0.5
TSM,XGB,224,56,-0.8569686160141636,-29.861625747308302,63.831961495535715,0.5
TSM,LGB,224,56,-1.0361025160311383,-33.01247345879351,67.52348105865951,0.5178571428571429
UUUU,RF,34,44,-0.49788964273693814,-13.066774160756172,5.5116067764795185,0.4772727272727273
UUUU,XGB,34,44,-0.5045900861938453,-13.351926936978995,5.537496442144567,0.5227272727272727
UUUU,LGB,34,44,-1.568714065206978,-26.18689132635604,7.730467932899227,0.5
